Architecture,Alpha,StationID,ATMP,DEWP,PRES,WDIR,WSPD,WTMP,ATMP_ERA5,DEWP_ERA5,PRES_ERA5,WSPD_ERA5,WTMP_ERA5,WDIR_ERA5
LSTM,0,42001,0.623,0.626,0.424,46.14,1.176,0.093,0.24,0.218,0.404,0.466,0.017,16.441
LSTM,0,42002,0.207,0.044,0.397,29.889,0.754,0.024,0.152,0.13,0.35,0.576,0.015,23.751
LSTM,0,42003,0.195,0.106,0.033,0.269,0.151,0.048,0.259,0.164,0.493,0.585,0.012,9.916
LSTM,0,42019,0.239,0.509,0.386,0.098,0.59,0.113,0.18,0.153,0.398,0.549,0.008,21.831
LSTM,0,42020,0.452,0.567,0.441,28.534,0.71,0.407,0.132,0.245,0.432,0.375,0.007,24.422
LSTM,0,42035,0.112,0.086,0.054,0.203,0.05,0.071,0.167,0.152,0.36,0.494,0.037,22.265
LSTM,0,42036,0.406,0.482,0.572,24.945,1.279,,0.159,0.21,0.413,0.673,,8.72
LSTM,0,42039,0.689,,0.607,37.7,2.2,0.21,0.382,,0.431,0.808,0.023,8.712
LSTM,0,42040,0.433,0.227,0.568,11.653,1.166,0.14,0.22,0.243,0.354,0.976,0.016,15.37
LSTM,0.1,42001,0.596,0.544,0.392,46.1,1.205,0.071,0.245,0.218,0.404,0.473,0.018,16.029
LSTM,0.1,42002,0.163,0.011,0.406,29.853,0.787,0.003,0.146,0.121,0.349,0.588,0.015,23.613
LSTM,0.1,42003,0.004,0.005,0.009,0.121,0.007,0.005,0.263,0.167,0.494,0.579,0.012,9.519
LSTM,0.1,42019,0.241,0.469,0.357,0.602,0.611,0.003,0.19,0.178,0.38,0.533,0.008,21.987
LSTM,0.1,42020,0.438,0.562,0.421,28.547,0.694,0.235,0.143,0.253,0.416,0.396,0.006,23.76
LSTM,0.1,42035,0.019,0.026,0.034,0.273,0.024,0.005,0.173,0.164,0.348,0.502,0.037,25.93
LSTM,0.1,42036,0.286,0.49,0.556,24.992,1.234,,0.169,0.215,0.418,0.675,,8.594
LSTM,0.1,42039,0.598,,0.596,37.653,2.228,0.005,0.379,,0.436,0.808,0.024,10.207
LSTM,0.1,42040,0.387,0.255,0.566,11.598,1.15,0.111,0.215,0.253,0.36,0.973,0.018,13.395
LSTM,0.2,42001,0.596,0.544,0.397,45.982,1.217,0.071,0.24,0.219,0.419,0.479,0.017,15.834
LSTM,0.2,42002,0.163,0.009,0.405,29.853,0.779,0.003,0.155,0.132,0.372,0.577,0.015,24.046
LSTM,0.2,42003,0.003,0.004,0.01,0.121,0.006,0.004,0.263,0.166,0.509,0.58,0.012,9.565
LSTM,0.2,42019,0.233,0.462,0.367,0.55,0.604,0.005,0.176,0.151,0.404,0.524,0.009,23.455
LSTM,0.2,42020,0.439,0.556,0.435,28.676,0.691,0.236,0.14,0.234,0.446,0.389,0.007,25.136
LSTM,0.2,42035,0.026,0.025,0.037,0.255,0.031,0.003,0.163,0.148,0.355,0.509,0.038,29.642
LSTM,0.2,42036,0.287,0.491,0.553,24.878,1.24,,0.169,0.212,0.427,0.672,,9.637
LSTM,0.2,42039,0.597,,0.589,37.607,2.219,0.004,0.38,,0.45,0.802,0.023,10.266
LSTM,0.2,42040,0.381,0.247,0.575,11.569,1.139,0.109,0.22,0.252,0.368,0.972,0.016,17.525
LSTM,0.3,42001,0.597,0.547,0.39,46.239,1.211,0.071,0.243,0.221,0.406,0.478,0.017,15.785
LSTM,0.3,42002,0.159,0.01,0.4,29.888,0.788,0.004,0.152,0.133,0.356,0.596,0.015,23.157
LSTM,0.3,42003,0.002,0.005,0.015,0.296,0.009,0.004,0.262,0.167,0.493,0.586,0.013,9.496
LSTM,0.3,42019,0.246,0.469,0.352,0.602,0.596,0.006,0.197,0.17,0.39,0.534,0.01,16.251
LSTM,0.3,42020,0.44,0.56,0.429,28.359,0.678,0.234,0.145,0.231,0.439,0.374,0.006,24.5
LSTM,0.3,42035,0.034,0.049,0.05,0.403,0.032,0.004,0.162,0.179,0.357,0.486,0.038,29.567
LSTM,0.3,42036,0.286,0.492,0.546,24.917,1.234,,0.168,0.216,0.411,0.675,,8.609
LSTM,0.3,42039,0.6,,0.587,38.456,2.223,0.003,0.382,,0.429,0.802,0.023,12.27
LSTM,0.3,42040,0.38,0.256,0.554,10.102,1.142,0.11,0.219,0.239,0.356,0.976,0.017,16.568
LSTM,0.4,42001,0.6,0.55,0.397,46.131,1.212,0.071,0.237,0.218,0.422,0.467,0.018,15.869
LSTM,0.4,42002,0.162,0.015,0.4,29.992,0.785,0.005,0.154,0.134,0.372,0.584,0.015,23.08
LSTM,0.4,42003,0.005,0.008,0.017,3.738,0.016,0.004,0.261,0.169,0.509,0.572,0.012,9.919
LSTM,0.4,42019,0.25,0.469,0.355,7.685,0.598,0.005,0.198,0.172,0.401,0.527,0.009,15.619
LSTM,0.4,42020,0.429,0.556,0.422,30.009,0.689,0.235,0.145,0.234,0.444,0.379,0.007,24.183
LSTM,0.4,42035,0.022,0.034,0.047,3.367,0.022,0.004,0.173,0.158,0.351,0.507,0.039,33.655
LSTM,0.4,42036,0.285,0.494,0.556,30.396,1.237,,0.172,0.22,0.416,0.673,,9.044
LSTM,0.4,42039,0.597,,0.593,39.92,2.229,0.005,0.379,,0.438,0.798,0.023,15.345
LSTM,0.4,42040,0.384,0.256,0.57,16.07,1.143,0.109,0.227,0.261,0.361,0.97,0.018,17.219
LSTM,0.5,42001,0.602,0.552,0.401,49.3,1.209,0.071,0.238,0.216,0.427,0.467,0.018,15.908
LSTM,0.5,42002,0.16,0.021,0.403,30.145,0.79,0.01,0.149,0.132,0.383,0.591,0.016,22.981
LSTM,0.5,42003,0.005,0.007,0.016,5.689,0.015,0.005,0.262,0.17,0.51,0.579,0.012,9.602
LSTM,0.5,42019,0.235,0.461,0.374,4.682,0.594,0.009,0.18,0.152,0.417,0.541,0.011,19.462
LSTM,0.5,42020,0.423,0.552,0.437,29.799,0.689,0.234,0.13,0.261,0.458,0.368,0.009,23.471
LSTM,0.5,42035,0.014,0.027,0.034,7.293,0.014,0.006,0.164,0.127,0.375,0.502,0.042,24.229
LSTM,0.5,42036,0.288,0.492,0.548,30.207,1.234,,0.17,0.218,0.411,0.671,,9.904
LSTM,0.5,42039,0.596,,0.599,47.696,2.227,0.004,0.377,,0.438,0.804,0.023,10.995
LSTM,0.5,42040,0.381,0.26,0.566,26.944,1.13,0.108,0.219,0.245,0.371,0.977,0.018,20.867
LSTM,0.6,42001,0.6,0.553,0.401,44.787,1.215,0.071,0.245,0.231,0.416,0.466,0.017,16.049
LSTM,0.6,42002,0.159,0.015,0.409,30.093,0.792,0.005,0.159,0.139,0.367,0.589,0.016,22.915
LSTM,0.6,42003,0.005,0.01,0.017,5.116,0.023,0.004,0.257,0.167,0.504,0.572,0.014,9.395
LSTM,0.6,42019,0.233,0.46,0.372,5.111,0.604,0.003,0.168,0.157,0.396,0.54,0.009,18.933
LSTM,0.6,42020,0.425,0.554,0.441,39.002,0.685,0.235,0.138,0.245,0.446,0.375,0.007,23.62
LSTM,0.6,42035,0.018,0.03,0.027,6.134,0.023,0.006,0.164,0.151,0.37,0.501,0.039,16.106
LSTM,0.6,42036,0.292,0.498,0.556,32.033,1.245,,0.172,0.229,0.425,0.659,,11.116
LSTM,0.6,42039,0.597,,0.594,43.915,2.232,0.006,0.382,,0.449,0.807,0.024,16.394
LSTM,0.6,42040,0.384,0.267,0.566,11.291,1.128,0.109,0.22,0.256,0.365,0.975,0.02,26.013
LSTM,0.7,42001,0.597,0.548,0.39,44.484,1.213,0.071,0.241,0.227,0.406,0.468,0.018,15.877
LSTM,0.7,42002,0.161,0.02,0.405,30.095,0.792,0.007,0.15,0.126,0.347,0.581,0.017,23.897
LSTM,0.7,42003,0.003,0.008,0.022,4.545,0.014,0.004,0.259,0.164,0.497,0.579,0.012,8.736
LSTM,0.7,42019,0.244,0.46,0.363,5.738,0.597,0.007,0.186,0.174,0.399,0.534,0.013,18.152
LSTM,0.7,42020,0.422,0.545,0.436,29.923,0.675,0.235,0.131,0.263,0.436,0.357,0.011,24.675
LSTM,0.7,42035,0.02,0.035,0.041,10.439,0.026,0.003,0.162,0.135,0.357,0.499,0.041,17.248
LSTM,0.7,42036,0.293,0.496,0.553,28.265,1.237,,0.168,0.227,0.42,0.674,,11.01
LSTM,0.7,42039,0.599,,0.586,43.112,2.216,0.005,0.38,,0.439,0.799,0.025,10.065
LSTM,0.7,42040,0.379,0.259,0.563,17.717,1.142,0.109,0.213,0.258,0.36,0.971,0.018,13.427
LSTM,0.8,42001,0.601,0.549,0.399,46.617,1.211,0.071,0.244,0.23,0.417,0.455,0.019,15.795
LSTM,0.8,42002,0.155,0.017,0.403,30.798,0.793,0.005,0.15,0.125,0.378,0.591,0.016,22.659
LSTM,0.8,42003,0.006,0.007,0.012,3.288,0.017,0.005,0.265,0.168,0.502,0.579,0.013,9.124
LSTM,0.8,42019,0.232,0.467,0.379,7.342,0.62,0.007,0.17,0.138,0.416,0.54,0.012,16.095
LSTM,0.8,42020,0.419,0.549,0.443,43.099,0.681,0.234,0.135,0.252,0.456,0.374,0.009,22.98
LSTM,0.8,42035,0.009,0.021,0.012,5.053,0.02,0.005,0.158,0.121,0.38,0.499,0.04,15.413
LSTM,0.8,42036,0.287,0.49,0.553,35.141,1.231,,0.176,0.221,0.413,0.669,,8.698
LSTM,0.8,42039,0.598,,0.588,45.383,2.236,0.003,0.38,,0.437,0.802,0.025,8.914
LSTM,0.8,42040,0.375,0.253,0.566,15.178,1.134,0.109,0.222,0.264,0.356,0.974,0.019,13.722
LSTM,0.9,42001,0.6,0.548,0.399,47.352,1.21,0.071,0.24,0.228,0.415,0.468,0.018,15.697
LSTM,0.9,42002,0.161,0.016,0.412,30.213,0.791,0.007,0.154,0.124,0.374,0.593,0.018,22.638
LSTM,0.9,42003,0.006,0.011,0.015,3.982,0.007,0.005,0.264,0.173,0.502,0.582,0.013,9.228
LSTM,0.9,42019,0.234,0.465,0.378,5.683,0.601,0.008,0.164,0.137,0.417,0.538,0.01,16.047
LSTM,0.9,42020,0.416,0.549,0.449,41.823,0.69,0.234,0.136,0.252,0.46,0.362,0.01,23.031
LSTM,0.9,42035,0.012,0.019,0.013,3.245,0.029,0.005,0.155,0.122,0.381,0.499,0.039,15.562
LSTM,0.9,42036,0.293,0.5,0.555,32.455,1.237,,0.18,0.225,0.42,0.68,,8.128
LSTM,0.9,42039,0.602,,0.587,42.694,2.233,0.004,0.382,,0.442,0.8,0.026,8.597
LSTM,0.9,42040,0.376,0.262,0.569,14.496,1.137,0.109,0.219,0.253,0.358,0.981,0.02,13.725
LSTM,1,42001,0.598,0.551,0.405,46.162,1.216,0.071,0.339,0.194,0.497,0.656,0.326,15.88
LSTM,1,42002,0.163,0.02,0.41,31.219,0.79,0.004,0.229,0.186,0.538,0.572,0.362,22.356
LSTM,1,42003,0.012,0.016,0.023,5.05,0.015,0.004,0.361,0.26,0.595,0.91,0.245,9.205
LSTM,1,42019,0.232,0.458,0.378,6.347,0.611,0.011,0.279,0.237,0.585,0.676,0.115,15.985
LSTM,1,42020,0.421,0.544,0.45,36.626,0.68,0.234,0.404,0.316,0.491,0.628,0.342,22.897
LSTM,1,42035,0.011,0.023,0.021,5.181,0.023,0.005,0.245,0.206,0.592,1.074,0.162,15.579
LSTM,1,42036,0.298,0.502,0.555,27.152,1.242,,0.436,0.283,0.389,0.691,,8.209
LSTM,1,42039,0.598,,0.594,40.947,2.23,0.004,0.431,,0.525,0.801,0.142,8.429
LSTM,1,42040,0.379,0.267,0.569,15.353,1.134,0.109,0.22,0.422,0.499,0.978,0.477,13.5