Architecture,Alpha,StationID,ATMP,DEWP,PRES,WDIR,WSPD,WTMP
LSTM,0,42001,0.709,0.792,0.228,3980.978,2.724,0.013
LSTM,0,42002,0.1,0.004,0.237,1789.096,0.923,0.001
LSTM,0,42003,0.052,0.016,0.002,0.078,0.024,0.004
LSTM,0,42019,0.102,0.527,0.295,0.016,0.604,0.019
LSTM,0,42020,0.428,0.618,0.278,2372.501,0.746,0.235
LSTM,0,42035,0.014,0.008,0.013,0.045,0.018,0.006
LSTM,0,42036,0.226,0.751,0.529,1900.489,2.288,
LSTM,0,42039,1.004,,0.657,3411.863,9.424,0.046
LSTM,0,42040,0.341,0.09,0.491,290.089,2.252,0.025
LSTM,0.1,42001,0.717,0.74,0.206,3968.563,2.805,0.01
LSTM,0.1,42002,0.076,0,0.234,1784.133,0.905,0
LSTM,0.1,42003,0,0,0,0.032,0,0
LSTM,0.1,42019,0.106,0.511,0.23,1.162,0.602,0
LSTM,0.1,42020,0.394,0.609,0.254,2378.943,0.728,0.126
LSTM,0.1,42035,0.002,0.002,0.004,0.281,0.003,0
LSTM,0.1,42036,0.161,0.765,0.496,1899.335,2.18,
LSTM,0.1,42039,0.979,,0.643,3409.914,9.539,0
LSTM,0.1,42040,0.291,0.134,0.466,289.961,2.162,0.018
LSTM,0.2,42001,0.715,0.735,0.21,3951.698,2.83,0.01
LSTM,0.2,42002,0.076,0,0.236,1788.126,0.894,0
LSTM,0.2,42003,0,0,0,0.036,0,0
LSTM,0.2,42019,0.099,0.512,0.233,0.899,0.603,0
LSTM,0.2,42020,0.398,0.613,0.265,2384.502,0.725,0.126
LSTM,0.2,42035,0.003,0.002,0.006,0.273,0.004,0
LSTM,0.2,42036,0.161,0.764,0.492,1893.193,2.19,
LSTM,0.2,42039,0.979,,0.628,3409.096,9.467,0
LSTM,0.2,42040,0.282,0.118,0.478,289.561,2.148,0.018
LSTM,0.3,42001,0.712,0.734,0.202,3975.405,2.832,0.01
LSTM,0.3,42002,0.075,0,0.23,1788.717,0.906,0
LSTM,0.3,42003,0,0,0.001,0.175,0,0
LSTM,0.3,42019,0.104,0.511,0.221,0.636,0.588,0
LSTM,0.3,42020,0.398,0.62,0.257,2388.93,0.7,0.126
LSTM,0.3,42035,0.006,0.01,0.009,0.328,0.006,0
LSTM,0.3,42036,0.16,0.762,0.482,1891.728,2.184,
LSTM,0.3,42039,0.979,,0.627,3449.817,9.466,0
LSTM,0.3,42040,0.279,0.126,0.449,210.95,2.175,0.019
LSTM,0.4,42001,0.718,0.741,0.206,3978.878,2.869,0.01
LSTM,0.4,42002,0.076,0,0.23,1796.263,0.907,0
LSTM,0.4,42003,0,0,0.001,30.197,0.001,0
LSTM,0.4,42019,0.11,0.502,0.225,188.957,0.589,0
LSTM,0.4,42020,0.375,0.604,0.259,2391.287,0.715,0.126
LSTM,0.4,42035,0.002,0.003,0.006,37.112,0.001,0
LSTM,0.4,42036,0.159,0.764,0.489,2362.318,2.183,
LSTM,0.4,42039,0.978,,0.64,3376.29,9.484,0
LSTM,0.4,42040,0.288,0.133,0.475,444.829,2.158,0.018
LSTM,0.5,42001,0.718,0.743,0.21,4232.565,2.839,0.01
LSTM,0.5,42002,0.075,0.001,0.236,1847.612,0.912,0
LSTM,0.5,42003,0,0,0.001,74.756,0,0
LSTM,0.5,42019,0.102,0.495,0.248,48.329,0.588,0
LSTM,0.5,42020,0.367,0.598,0.275,2455.407,0.708,0.126
LSTM,0.5,42035,0.001,0.002,0.003,164.952,0,0
LSTM,0.5,42036,0.158,0.75,0.485,2183.739,2.182,
LSTM,0.5,42039,0.977,,0.644,4446.364,9.473,0
LSTM,0.5,42040,0.282,0.132,0.469,1892.39,2.134,0.018
LSTM,0.6,42001,0.711,0.738,0.214,4078.087,2.834,0.01
LSTM,0.6,42002,0.075,0,0.242,1820.549,0.925,0
LSTM,0.6,42003,0,0,0,58.436,0.001,0
LSTM,0.6,42019,0.104,0.514,0.245,71.511,0.588,0
LSTM,0.6,42020,0.364,0.598,0.272,3283.53,0.71,0.126
LSTM,0.6,42035,0.001,0.002,0.001,159.999,0.001,0
LSTM,0.6,42036,0.16,0.769,0.493,2570.57,2.215,
LSTM,0.6,42039,0.982,,0.647,3743.666,9.483,0
LSTM,0.6,42040,0.284,0.137,0.465,298.618,2.129,0.018
LSTM,0.7,42001,0.712,0.735,0.206,3715.533,2.848,0.01
LSTM,0.7,42002,0.076,0.001,0.232,1817.564,0.914,0
LSTM,0.7,42003,0,0,0.001,40.468,0,0
LSTM,0.7,42019,0.108,0.49,0.234,80.175,0.589,0
LSTM,0.7,42020,0.357,0.592,0.268,2493.308,0.706,0.126
LSTM,0.7,42035,0.001,0.003,0.003,554.685,0.001,0
LSTM,0.7,42036,0.161,0.765,0.495,1956.41,2.179,
LSTM,0.7,42039,0.98,,0.631,3995.487,9.429,0
LSTM,0.7,42040,0.276,0.128,0.473,587.455,2.169,0.018
LSTM,0.8,42001,0.718,0.737,0.208,4250.554,2.847,0.01
LSTM,0.8,42002,0.071,0.001,0.232,1857.292,0.915,0
LSTM,0.8,42003,0,0,0,22.326,0.001,0
LSTM,0.8,42019,0.102,0.499,0.255,97.093,0.613,0
LSTM,0.8,42020,0.365,0.592,0.272,3986.071,0.71,0.126
LSTM,0.8,42035,0,0.001,0,57.512,0.001,0
LSTM,0.8,42036,0.159,0.759,0.485,3357.78,2.173,
LSTM,0.8,42039,0.979,,0.633,4040.492,9.482,0
LSTM,0.8,42040,0.274,0.122,0.465,461.1,2.142,0.018
LSTM,0.9,42001,0.715,0.735,0.208,4071.072,2.847,0.01
LSTM,0.9,42002,0.077,0.001,0.241,1812.213,0.918,0
LSTM,0.9,42003,0,0,0,31.064,0,0
LSTM,0.9,42019,0.103,0.508,0.252,78.024,0.595,0
LSTM,0.9,42020,0.353,0.592,0.277,4597.319,0.725,0.125
LSTM,0.9,42035,0,0.001,0,18.296,0.002,0
LSTM,0.9,42036,0.16,0.77,0.491,2667.267,2.178,
LSTM,0.9,42039,0.983,,0.631,3509.48,9.498,0
LSTM,0.9,42040,0.276,0.128,0.472,395.959,2.149,0.018
LSTM,1,42001,0.712,0.733,0.215,4080.532,2.858,0.01
LSTM,1,42002,0.077,0.001,0.238,1995.371,0.906,0
LSTM,1,42003,0,0,0.001,53.757,0,0
LSTM,1,42019,0.103,0.49,0.256,124.312,0.607,0
LSTM,1,42020,0.362,0.597,0.281,3632.797,0.699,0.126
LSTM,1,42035,0,0.002,0.001,63.892,0.002,0
LSTM,1,42036,0.161,0.771,0.492,1969.001,2.189,
LSTM,1,42039,0.973,,0.639,3726.425,9.477,0
LSTM,1,42040,0.279,0.13,0.47,496.039,2.13,0.019
GRU,0,42001,0.78,0.883,0.502,3986.589,3.119,0.03
GRU,0,42002,0.359,0.011,0.36,1806.199,2.365,0.418
GRU,0,42003,0.05,0.198,0.029,0.031,0.357,0.241
GRU,0,42019,1.041,0.529,0.393,0.19,0.624,0.758
GRU,0,42020,0.637,0.62,0.345,2376.584,0.635,0.238
GRU,0,42035,0.226,0.048,0.017,0.194,0.244,0.023
GRU,0,42036,0.787,1.048,0.526,1898.481,2.26,
GRU,0,42039,1.231,,0.695,3432.007,9.592,0.393
GRU,0,42040,0.287,0.102,0.989,281.659,2.26,1.059
GRU,0.1,42001,0.703,0.735,0.2,3974.611,2.838,0.01
GRU,0.1,42002,0.076,0,0.228,1791.168,0.899,0
GRU,0.1,42003,0,0,0,0.123,0.001,0
GRU,0.1,42019,0.099,0.507,0.238,0.252,0.597,0
GRU,0.1,42020,0.394,0.612,0.263,2387.976,0.695,0.126
GRU,0.1,42035,0,0.001,0.002,0.115,0,0
GRU,0.1,42036,0.16,0.762,0.487,1901.092,2.187,
GRU,0.1,42039,0.979,,0.632,3411.852,9.481,0
GRU,0.1,42040,0.29,0.14,0.466,302.393,2.177,0.019
GRU,0.2,42001,0.709,0.732,0.208,3956.943,2.848,0.01
GRU,0.2,42002,0.076,0,0.232,1792.164,0.905,0
GRU,0.2,42003,0,0,0.001,0.11,0,0
GRU,0.2,42019,0.102,0.514,0.238,1.705,0.602,0
GRU,0.2,42020,0.398,0.6,0.263,2385.717,0.716,0.126
GRU,0.2,42035,0.001,0.001,0.001,0.315,0.002,0
GRU,0.2,42036,0.159,0.765,0.491,1899.507,2.197,
GRU,0.2,42039,0.979,,0.64,3417.064,9.468,0
GRU,0.2,42040,0.285,0.139,0.483,298.561,2.158,0.018
GRU,0.3,42001,0.719,0.744,0.212,3949.198,2.853,0.01
GRU,0.3,42002,0.075,0,0.232,1783.117,0.914,0
GRU,0.3,42003,0,0,0.001,3.317,0,0
GRU,0.3,42019,0.104,0.507,0.236,1.706,0.595,0
GRU,0.3,42020,0.396,0.613,0.265,2391.273,0.705,0.126
GRU,0.3,42035,0.001,0.001,0.003,0.217,0.001,0
GRU,0.3,42036,0.16,0.765,0.489,2207.17,2.165,
GRU,0.3,42039,0.978,,0.639,3441.945,9.526,0
GRU,0.3,42040,0.284,0.129,0.485,316.518,2.14,0.018
GRU,0.4,42001,0.71,0.741,0.21,3781.369,2.839,0.01
GRU,0.4,42002,0.077,0.001,0.233,1798.978,0.921,0
GRU,0.4,42003,0,0,0.001,55.889,0.001,0
GRU,0.4,42019,0.096,0.513,0.249,240.129,0.588,0
GRU,0.4,42020,0.372,0.608,0.274,2565.464,0.693,0.126
GRU,0.4,42035,0,0.001,0.003,70.653,0.001,0
GRU,0.4,42036,0.159,0.765,0.495,2280.616,2.168,
GRU,0.4,42039,0.98,,0.637,3617.336,9.454,0
GRU,0.4,42040,0.286,0.138,0.471,349.206,2.151,0.018
GRU,0.5,42001,0.714,0.736,0.2,4098.446,2.861,0.01
GRU,0.5,42002,0.077,0.001,0.225,1789.491,0.921,0
GRU,0.5,42003,0,0,0.001,231.403,0.001,0
GRU,0.5,42019,0.106,0.491,0.232,331.485,0.594,0
GRU,0.5,42020,0.375,0.61,0.255,2267.587,0.699,0.126
GRU,0.5,42035,0.001,0.002,0.003,51.119,0.002,0
GRU,0.5,42036,0.162,0.764,0.488,2620.148,2.202,
GRU,0.5,42039,0.978,,0.634,3748.078,9.457,0
GRU,0.5,42040,0.289,0.139,0.472,381.596,2.142,0.018
GRU,0.6,42001,0.714,0.734,0.203,4353.349,2.853,0.01
GRU,0.6,42002,0.074,0.001,0.236,1809.948,0.936,0
GRU,0.6,42003,0,0,0.001,45.304,0.001,0
GRU,0.6,42019,0.102,0.5,0.248,89.354,0.597,0
GRU,0.6,42020,0.362,0.598,0.273,3036.455,0.734,0.126
GRU,0.6,42035,0.001,0.001,0.002,50.627,0.001,0
GRU,0.6,42036,0.161,0.767,0.48,2188.66,2.177,
GRU,0.6,42039,0.978,,0.64,3831.801,9.503,0
GRU,0.6,42040,0.271,0.13,0.472,382.702,2.136,0.018
GRU,0.7,42001,0.719,0.739,0.215,3929.289,2.842,0.01
GRU,0.7,42002,0.076,0,0.244,1938.987,0.912,0
GRU,0.7,42003,0,0,0.002,31.874,0.001,0
GRU,0.7,42019,0.102,0.506,0.258,80.556,0.597,0.001
GRU,0.7,42020,0.366,0.598,0.285,2239.036,0.717,0.126
GRU,0.7,42035,0,0,0.001,103.558,0.001,0
GRU,0.7,42036,0.16,0.767,0.492,2537.275,2.176,
GRU,0.7,42039,0.976,,0.638,3478.663,9.407,0
GRU,0.7,42040,0.276,0.126,0.474,465.53,2.143,0.019
GRU,0.8,42001,0.713,0.737,0.216,3678.395,2.851,0.01
GRU,0.8,42002,0.075,0,0.237,1811.189,0.904,0
GRU,0.8,42003,0,0,0.001,89.614,0.001,0
GRU,0.8,42019,0.1,0.497,0.255,81.515,0.593,0
GRU,0.8,42020,0.354,0.593,0.28,2442.676,0.707,0.126
GRU,0.8,42035,0,0.001,0.001,36.968,0.002,0
GRU,0.8,42036,0.159,0.768,0.485,2041.31,2.176,
GRU,0.8,42039,0.976,,0.641,4385.016,9.469,0
GRU,0.8,42040,0.273,0.125,0.469,490.315,2.141,0.019
GRU,0.9,42001,0.707,0.735,0.214,3752.723,2.845,0.01
GRU,0.9,42002,0.076,0,0.242,1808.071,0.914,0
GRU,0.9,42003,0,0,0,36.322,0.001,0
GRU,0.9,42019,0.1,0.488,0.256,119.564,0.584,0
GRU,0.9,42020,0.369,0.596,0.28,2880.83,0.719,0.126
GRU,0.9,42035,0,0.001,0,25.274,0.002,0
GRU,0.9,42036,0.158,0.764,0.492,2101.192,2.179,
GRU,0.9,42039,0.98,,0.641,3462.198,9.446,0
GRU,0.9,42040,0.275,0.127,0.469,270.529,2.163,0.018
GRU,1,42001,0.716,0.735,0.221,4084.184,2.849,0.01
GRU,1,42002,0.076,0.001,0.25,2237.202,0.921,0
GRU,1,42003,0,0,0.001,13.64,0,0
GRU,1,42019,0.102,0.494,0.263,181.081,0.604,0
GRU,1,42020,0.361,0.594,0.284,3519.211,0.74,0.126
GRU,1,42035,0,0.001,0.001,35.526,0.003,0
GRU,1,42036,0.162,0.769,0.497,2477.826,2.232,
GRU,1,42039,0.981,,0.648,3338.536,9.468,0
GRU,1,42040,0.276,0.129,0.476,381.836,2.082,0.019
CNN,0,42001,2960.411,117.493,4155.74,4525.042,224.567,915.346
CNN,0,42002,1412.668,1607.724,834.657,1953.468,101.778,198.079
CNN,0,42003,509.783,236.226,292.217,397.963,182.829,298.955
CNN,0,42019,56.879,1199.567,90.678,197.17,79.56,1022.541
CNN,0,42020,891.975,576.451,78.34,2472.646,838.244,1749.984
CNN,0,42035,97.402,838.534,2040.942,210.181,48.516,460.056
CNN,0,42036,4442.193,96.52,361.694,2784.988,1446.758,
CNN,0,42039,637.583,,79.809,4484.961,1439.634,1419.373
CNN,0,42040,504.589,171.885,218.227,1141.311,536.8,2167.544
CNN,0.1,42001,0.757,0.908,0.231,4111.932,3.029,0.052
CNN,0.1,42002,0.276,0.029,0.216,1824.594,1.025,0.092
CNN,0.1,42003,0.034,0.094,0.069,13.105,0.112,0.037
CNN,0.1,42019,0.278,0.834,0.269,29.44,1.046,0.041
CNN,0.1,42020,0.536,0.678,0.396,2468.68,0.932,0.131
CNN,0.1,42035,0.098,0.316,0.108,13.819,0.14,0.026
CNN,0.1,42036,0.326,0.916,0.673,1969.779,2.56,
CNN,0.1,42039,1.003,,0.745,3419.906,8.793,0.036
CNN,0.1,42040,0.369,0.229,0.576,274.32,2.458,0.053
CNN,0.2,42001,0.795,0.618,2.595,4192.294,9.013,0.239
CNN,0.2,42002,0.153,0.374,3.103,1791.199,1.286,0.058
CNN,0.2,42003,0.081,0.133,0.573,13.376,8.353,0.155
CNN,0.2,42019,1.046,0.849,0.916,98.988,2.53,0.213
CNN,0.2,42020,0.538,0.89,0.384,3176.37,2.564,0.338
CNN,0.2,42035,0.324,1.588,0.908,102.454,1.882,0.308
CNN,0.2,42036,0.418,0.892,2.181,1894.288,2.287,
CNN,0.2,42039,1.164,,1.297,3582.053,10.555,0.305
CNN,0.2,42040,0.532,0.443,0.457,309.369,3.02,0.132
CNN,0.3,42001,0.977,1.041,0.502,3855.035,4.953,0.028
CNN,0.3,42002,0.189,0.03,0.187,2042.881,1.289,0.072
CNN,0.3,42003,0.118,0.162,0.071,58.399,0.253,0.131
CNN,0.3,42019,0.22,0.755,0.386,40.55,0.635,0.182
CNN,0.3,42020,0.371,0.765,0.302,2277.931,0.703,0.191
CNN,0.3,42035,0.282,0.163,0.321,5.554,0.076,0.075
CNN,0.3,42036,0.284,0.758,0.594,2100.904,2.14,
CNN,0.3,42039,1.183,,0.891,3935.261,8.894,0.046
CNN,0.3,42040,0.381,0.123,0.538,423.121,2.215,0.06
CNN,0.4,42001,0.928,1.007,0.292,4661.463,4.551,0.196
CNN,0.4,42002,0.421,0.908,1.133,2458.06,2.21,0.25
CNN,0.4,42003,0.131,0.642,0.282,79.052,0.633,0.04
CNN,0.4,42019,0.681,1.088,0.438,126.455,2.595,0.145
CNN,0.4,42020,0.845,0.992,0.292,2398.206,1.049,0.831
CNN,0.4,42035,0.779,0.56,0.598,23.174,1.345,0.193
CNN,0.4,42036,0.348,0.878,0.914,1982.875,4.953,
CNN,0.4,42039,2.604,,1.765,4156.002,12.424,0.226
CNN,0.4,42040,0.622,0.999,0.652,451.784,2.831,0.125
CNN,0.5,42001,0.537,0.771,1.511,4179.415,3.225,0.049
CNN,0.5,42002,0.262,0.161,1.8,2060.001,4.868,0.259
CNN,0.5,42003,0.048,0.11,0.118,26.517,1.129,0.069
CNN,0.5,42019,0.435,0.882,1.466,90.108,1.104,0.099
CNN,0.5,42020,0.536,0.808,0.297,3100.333,1.319,0.345
CNN,0.5,42035,0.5,0.365,0.451,255.213,0.627,0.11
CNN,0.5,42036,0.543,0.95,0.504,2889.799,2.728,
CNN,0.5,42039,1.059,,3.296,3507.747,9.24,0.245
CNN,0.5,42040,0.342,0.381,1.842,472.886,2.778,0.1
CNN,0.6,42001,0.979,0.764,1.614,3811.482,2.626,0.051
CNN,0.6,42002,0.137,0.235,0.294,1700.686,4.388,0.183
CNN,0.6,42003,0.141,0.047,0.074,4.449,0.396,0.165
CNN,0.6,42019,0.16,0.829,0.503,8.634,1.014,0.131
CNN,0.6,42020,0.639,0.94,0.535,4008.978,1.363,0.191
CNN,0.6,42035,0.831,0.761,0.982,144.941,0.411,0.675
CNN,0.6,42036,0.186,1.283,1.855,2755.083,2.46,
CNN,0.6,42039,1.1,,1.501,3683.235,9.456,0.944
CNN,0.6,42040,1.007,0.52,0.764,236.809,2.575,0.913
CNN,0.7,42001,0.691,0.847,0.332,4577.58,2.946,0.076
CNN,0.7,42002,0.431,0.055,0.517,1795.383,1.034,0.127
CNN,0.7,42003,0.099,0.077,0.103,30.103,0.261,0.097
CNN,0.7,42019,0.257,0.799,0.575,11.902,0.922,0.121
CNN,0.7,42020,0.417,0.619,0.458,4093.468,0.75,0.155
CNN,0.7,42035,0.1,0.237,0.237,7.784,0.259,0.164
CNN,0.7,42036,0.334,0.892,0.862,2216.309,2.299,
CNN,0.7,42039,1.069,,0.472,3856.056,8.876,0.122
CNN,0.7,42040,0.476,0.19,0.474,642.572,2.064,0.094
CNN,0.8,42001,0.905,2.11,1.639,4430.791,4.354,1.251
CNN,0.8,42002,2.139,0.158,0.776,2280.405,1.197,1.969
CNN,0.8,42003,0.198,0.133,0.443,633.67,1.123,0.808
CNN,0.8,42019,0.186,0.964,0.89,47.313,0.881,1.134
CNN,0.8,42020,0.968,0.997,0.698,3898.039,1.278,1.29
CNN,0.8,42035,0.246,0.481,0.466,543.664,0.289,0.263
CNN,0.8,42036,0.52,1.1,0.512,3940.332,2.979,
CNN,0.8,42039,1.972,,0.656,3775.994,8.629,0.314
CNN,0.8,42040,0.836,0.774,1.156,1306.043,3.522,0.755
CNN,0.9,42001,0.948,1.066,1.114,4276.796,2.5,0.153
CNN,0.9,42002,0.879,0.621,0.614,2316.354,1.112,0.324
CNN,0.9,42003,0.683,0.355,0.075,957.391,0.048,0.472
CNN,0.9,42019,0.618,0.568,0.599,138.898,1.352,0.129
CNN,0.9,42020,0.775,0.775,1.244,2554.996,0.749,0.816
CNN,0.9,42035,0.891,0.393,0.118,4.566,0.776,0.784
CNN,0.9,42036,0.8,1.209,2.686,2244.906,2.897,
CNN,0.9,42039,1.792,,1.521,4193.758,10.607,0.374
CNN,0.9,42040,0.416,0.219,0.61,270.744,2.372,0.665
CNN,1,42001,0.838,0.622,0.277,4011.76,3.161,0.102
CNN,1,42002,0.338,0.04,0.397,2061.917,1.121,0.06
CNN,1,42003,0.079,0.029,0.071,24.484,0.367,0.036
CNN,1,42019,0.17,0.476,0.441,61.87,0.683,0.025
CNN,1,42020,0.53,0.697,0.369,3690.938,0.653,0.151
CNN,1,42035,0.074,0.065,0.028,34.652,0.166,0.068
CNN,1,42036,0.23,0.775,0.548,1968.411,2.36,
CNN,1,42039,1.076,,0.683,4338.799,10.897,0.091
CNN,1,42040,0.386,0.219,0.561,608.712,2.346,0.072
TCN,0,42001,2960.411,117.493,4155.74,4525.042,224.567,915.346
TCN,0,42002,1412.668,1607.724,834.657,1953.468,101.778,198.079
TCN,0,42003,509.783,236.226,292.217,397.963,182.829,298.955
TCN,0,42019,56.879,1199.567,90.678,197.17,79.56,1022.541
TCN,0,42020,891.975,576.451,78.34,2472.646,838.244,1749.984
TCN,0,42035,97.402,838.534,2040.942,210.181,48.516,460.056
TCN,0,42036,4442.193,96.52,361.694,2784.988,1446.758,
TCN,0,42039,637.583,,79.809,4484.961,1439.634,1419.373
TCN,0,42040,504.589,171.885,218.227,1141.311,536.8,2167.544
TCN,0.1,42001,0.757,0.908,0.231,4111.932,3.029,0.052
TCN,0.1,42002,0.276,0.029,0.216,1824.594,1.025,0.092
TCN,0.1,42003,0.034,0.094,0.069,13.105,0.112,0.037
TCN,0.1,42019,0.278,0.834,0.269,29.44,1.046,0.041
TCN,0.1,42020,0.536,0.678,0.396,2468.68,0.932,0.131
TCN,0.1,42035,0.098,0.316,0.108,13.819,0.14,0.026
TCN,0.1,42036,0.326,0.916,0.673,1969.779,2.56,
TCN,0.1,42039,1.003,,0.745,3419.906,8.793,0.036
TCN,0.1,42040,0.369,0.229,0.576,274.32,2.458,0.053
TCN,0.2,42001,0.795,0.618,2.595,4192.294,9.013,0.239
TCN,0.2,42002,0.153,0.374,3.103,1791.199,1.286,0.058
TCN,0.2,42003,0.081,0.133,0.573,13.376,8.353,0.155
TCN,0.2,42019,1.046,0.849,0.916,98.988,2.53,0.213
TCN,0.2,42020,0.538,0.89,0.384,3176.37,2.564,0.338
TCN,0.2,42035,0.324,1.588,0.908,102.454,1.882,0.308
TCN,0.2,42036,0.418,0.892,2.181,1894.288,2.287,
TCN,0.2,42039,1.164,,1.297,3582.053,10.555,0.305
TCN,0.2,42040,0.532,0.443,0.457,309.369,3.02,0.132
TCN,0.3,42001,0.977,1.041,0.502,3855.035,4.953,0.028
TCN,0.3,42002,0.189,0.03,0.187,2042.881,1.289,0.072
TCN,0.3,42003,0.118,0.162,0.071,58.399,0.253,0.131
TCN,0.3,42019,0.22,0.755,0.386,40.55,0.635,0.182
TCN,0.3,42020,0.371,0.765,0.302,2277.931,0.703,0.191
TCN,0.3,42035,0.282,0.163,0.321,5.554,0.076,0.075
TCN,0.3,42036,0.284,0.758,0.594,2100.904,2.14,
TCN,0.3,42039,1.183,,0.891,3935.261,8.894,0.046
TCN,0.3,42040,0.381,0.123,0.538,423.121,2.215,0.06
TCN,0.4,42001,0.928,1.007,0.292,4661.463,4.551,0.196
TCN,0.4,42002,0.421,0.908,1.133,2458.06,2.21,0.25
TCN,0.4,42003,0.131,0.642,0.282,79.052,0.633,0.04
TCN,0.4,42019,0.681,1.088,0.438,126.455,2.595,0.145
TCN,0.4,42020,0.845,0.992,0.292,2398.206,1.049,0.831
TCN,0.4,42035,0.779,0.56,0.598,23.174,1.345,0.193
TCN,0.4,42036,0.348,0.878,0.914,1982.875,4.953,
TCN,0.4,42039,2.604,,1.765,4156.002,12.424,0.226
TCN,0.4,42040,0.622,0.999,0.652,451.784,2.831,0.125
TCN,0.5,42001,0.537,0.771,1.511,4179.415,3.225,0.049
TCN,0.5,42002,0.262,0.161,1.8,2060.001,4.868,0.259
TCN,0.5,42003,0.048,0.11,0.118,26.517,1.129,0.069
TCN,0.5,42019,0.435,0.882,1.466,90.108,1.104,0.099
TCN,0.5,42020,0.536,0.808,0.297,3100.333,1.319,0.345
TCN,0.5,42035,0.5,0.365,0.451,255.213,0.627,0.11
TCN,0.5,42036,0.543,0.95,0.504,2889.799,2.728,
TCN,0.5,42039,1.059,,3.296,3507.747,9.24,0.245
TCN,0.5,42040,0.342,0.381,1.842,472.886,2.778,0.1
TCN,0.6,42001,0.979,0.764,1.614,3811.482,2.626,0.051
TCN,0.6,42002,0.137,0.235,0.294,1700.686,4.388,0.183
TCN,0.6,42003,0.141,0.047,0.074,4.449,0.396,0.165
TCN,0.6,42019,0.16,0.829,0.503,8.634,1.014,0.131
TCN,0.6,42020,0.639,0.94,0.535,4008.978,1.363,0.191
TCN,0.6,42035,0.831,0.761,0.982,144.941,0.411,0.675
TCN,0.6,42036,0.186,1.283,1.855,2755.083,2.46,
TCN,0.6,42039,1.1,,1.501,3683.235,9.456,0.944
TCN,0.6,42040,1.007,0.52,0.764,236.809,2.575,0.913
TCN,0.7,42001,0.691,0.847,0.332,4577.58,2.946,0.076
TCN,0.7,42002,0.431,0.055,0.517,1795.383,1.034,0.127
TCN,0.7,42003,0.099,0.077,0.103,30.103,0.261,0.097
TCN,0.7,42019,0.257,0.799,0.575,11.902,0.922,0.121
TCN,0.7,42020,0.417,0.619,0.458,4093.468,0.75,0.155
TCN,0.7,42035,0.1,0.237,0.237,7.784,0.259,0.164
TCN,0.7,42036,0.334,0.892,0.862,2216.309,2.299,
TCN,0.7,42039,1.069,,0.472,3856.056,8.876,0.122
TCN,0.7,42040,0.476,0.19,0.474,642.572,2.064,0.094
TCN,0.8,42001,0.905,2.11,1.639,4430.791,4.354,1.251
TCN,0.8,42002,2.139,0.158,0.776,2280.405,1.197,1.969
TCN,0.8,42003,0.198,0.133,0.443,633.67,1.123,0.808
TCN,0.8,42019,0.186,0.964,0.89,47.313,0.881,1.134
TCN,0.8,42020,0.968,0.997,0.698,3898.039,1.278,1.29
TCN,0.8,42035,0.246,0.481,0.466,543.664,0.289,0.263
TCN,0.8,42036,0.52,1.1,0.512,3940.332,2.979,
TCN,0.8,42039,1.972,,0.656,3775.994,8.629,0.314
TCN,0.8,42040,0.836,0.774,1.156,1306.043,3.522,0.755
TCN,0.9,42001,0.948,1.066,1.114,4276.796,2.5,0.153
TCN,0.9,42002,0.879,0.621,0.614,2316.354,1.112,0.324
TCN,0.9,42003,0.683,0.355,0.075,957.391,0.048,0.472
TCN,0.9,42019,0.618,0.568,0.599,138.898,1.352,0.129
TCN,0.9,42020,0.775,0.775,1.244,2554.996,0.749,0.816
TCN,0.9,42035,0.891,0.393,0.118,4.566,0.776,0.784
TCN,0.9,42036,0.8,1.209,2.686,2244.906,2.897,
TCN,0.9,42039,1.792,,1.521,4193.758,10.607,0.374
TCN,0.9,42040,0.416,0.219,0.61,270.744,2.372,0.665
TCN,1,42001,0.838,0.622,0.277,4011.76,3.161,0.102
TCN,1,42002,0.338,0.04,0.397,2061.917,1.121,0.06
TCN,1,42003,0.079,0.029,0.071,24.484,0.367,0.036
TCN,1,42019,0.17,0.476,0.441,61.87,0.683,0.025
TCN,1,42020,0.53,0.697,0.369,3690.938,0.653,0.151
TCN,1,42035,0.074,0.065,0.028,34.652,0.166,0.068
TCN,1,42036,0.23,0.775,0.548,1968.411,2.36,
TCN,1,42039,1.076,,0.683,4338.799,10.897,0.091
TCN,1,42040,0.386,0.219,0.561,608.712,2.346,0.072